Date : 2024-12-28 00:11:32
Directory : c:\Users\Chris Milner\Dev\Code\Flutter\revivals2
Total : 179 files,  15992 codes, 1687 comments, 1722 blanks, all 19401 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\designer_list_view.dart                               | Dart       |         39 |          0 |          3 |         42 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\occasion_grid_tile.dart                               | Dart       |         32 |          3 |          6 |         41 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\occasion_grid_view.dart                               | Dart       |         39 |          5 |          4 |         48 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\style_items.dart                                      | Dart       |         86 |         13 |         16 |        115 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\style_list_view.dart                                  | Dart       |        140 |          8 |          8 |        156 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\favourites\favourites.dart                                   | Dart       |         78 |         11 |         12 |        101 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\fitting\fitting.dart                                         | Dart       |        287 |         27 |         28 |        342 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\fitting\fitting_item_image.dart                              | Dart       |         16 |          3 |          3 |         22 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\fitting\fitting_summary.dart                                 | Dart       |         65 |          0 |          6 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\accordion-example.dart                           | Dart       |        396 |          2 |          9 |        407 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\faq_accordion.dart                               | Dart       |         81 |          3 |         15 |         99 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\faqs.dart                                        | Dart       |         47 |         14 |          2 |         63 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\how_it_works.dart                                | Dart       |        337 |         23 |          6 |        366 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\sizing_guide.dart                                | Dart       |        357 |         15 |          6 |        378 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\help_centre\who_are_we.dart                                  | Dart       |        217 |         22 |          6 |        245 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\all_items_home_widget.dart                              | Dart       |         12 |          0 |          6 |         18 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\fitting_home_widget.dart                                | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\home.dart                                               | Dart       |        224 |         37 |         17 |        278 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\home_page_bottom_card.dart                              | Dart       |         25 |          3 |          3 |         31 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\new_arrivals_carousel.dart                              | Dart       |         39 |          1 |          5 |         45 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\offer_home_widget.dart                                  | Dart       |         12 |          4 |          4 |         20 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\rentals_home_widget.dart                                | Dart       |         13 |          0 |          5 |         18 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home\to_buy_home_widget.dart                                 | Dart       |         12 |          0 |          5 |         17 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\home_page.dart                                               | Dart       |         90 |         15 |         13 |        118 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\accounts\accounts.dart                               | Dart       |         42 |          3 |          2 |         47 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\accounts\accounts_consumable_list_view_template.dart | Dart       |         74 |          1 |         10 |         85 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\accounts\accounts_history_image_widget.dart          | Dart       |         96 |         20 |         10 |        126 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\accounts\accounts_history_list copy.dart             | Dart       |         49 |          6 |         12 |         67 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\accounts\accounts_insights.dart                      | Dart       |        251 |         35 |         22 |        308 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\admin_bookings.dart                                  | Dart       |         43 |          8 |          4 |         55 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\admin_fittings.dart                                  | Dart       |         40 |          8 |          4 |         52 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\country_selector.dart                                | Dart       |         65 |          3 |          8 |         76 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\create\create_item.dart                              | Dart       |        632 |         64 |         37 |        733 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\create\set_pricing.dart                              | Dart       |        281 |          4 |         13 |        298 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\create\to_rent_submission.dart                       | Dart       |        286 |         61 |         38 |        385 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\edit\to_rent_edit.dart                               | Dart       |        285 |         63 |         38 |        386 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\messages\inbox.dart                                  | Dart       |         78 |          7 |         12 |         97 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\messages\my_message.dart                             | Dart       |         78 |          3 |         10 |         91 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_account.dart                                      | Dart       |        216 |         94 |         29 |        339 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_admin.dart                                        | Dart       |        299 |          3 |         13 |        315 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_fittings.dart                                     | Dart       |         45 |          9 |          4 |         58 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_fittings_admin_image_widget.dart                  | Dart       |         96 |         20 |         10 |        126 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_fittings_admin_list.dart                          | Dart       |         48 |          6 |         12 |         66 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_fittings_image_widget.dart                        | Dart       |        112 |          2 |          7 |        121 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_history_fittings_image_widget.dart                | Dart       |         87 |          1 |          6 |         94 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_history_fittings_list.dart                        | Dart       |         46 |          5 |         11 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_item_image_widget.dart                            | Dart       |         63 |          0 |         14 |         77 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_items.dart                                        | Dart       |         38 |          9 |          3 |         50 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_items_list.dart                                   | Dart       |         46 |          6 |         11 |         63 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_purchases_admin_bookings_list.dart                | Dart       |         50 |         11 |         12 |         73 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_purchases_list.dart                               | Dart       |         46 |         11 |         11 |         68 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_rentals_admin_bookings_list.dart                  | Dart       |         48 |          0 |         14 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_rentals_list.dart                                 | Dart       |         47 |          5 |         13 |         65 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_transactions.dart                                 | Dart       |         39 |          9 |          3 |         51 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_transactions_admin_image_widget.dart              | Dart       |        166 |          3 |         12 |        181 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_transactions_image_widget.dart                    | Dart       |        154 |          4 |          9 |        167 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\my_upcoming_fittings_list.dart                       | Dart       |         48 |          6 |         10 |         64 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\profile.dart                                         | Dart       |         58 |         16 |         19 |         93 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\profile_landing.dart                                 | Dart       |        437 |         15 |         24 |        476 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\settings.dart                                        | Dart       |        320 |         14 |         22 |        356 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\verify\admin_verifify_ids.dart                       | Dart       |         44 |          0 |          4 |         48 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\verify\my_verify_admin_image_widget.dart             | Dart       |        104 |          3 |          7 |        114 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\verify\my_verify_admin_list.dart                     | Dart       |         40 |          1 |         12 |         53 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\profile\verify\verify_id.dart                                | Dart       |        101 |          3 |         17 |        121 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\sign_up\config.dart                                          | Dart       |         10 |          0 |          4 |         14 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\sign_up\google_sign_in.dart                                  | Dart       |        236 |         21 |         28 |        285 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\sign_up\login_page.dart                                      | Dart       |         31 |         52 |          6 |         89 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\delivery_radio_widget.dart                           | Dart       |         69 |          1 |         13 |         83 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\purchase_price_summary.dart                          | Dart       |         53 |          0 |          3 |         56 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\rental_price_summary.dart                            | Dart       |         55 |          0 |          4 |         59 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_image_widget.dart                            | Dart       |         74 |         11 |         13 |         98 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_purchase.dart                                | Dart       |        199 |         64 |         18 |        281 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_rental.dart                                  | Dart       |        268 |         22 |         17 |        307 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\confirm_rent-old.dart                                | Dart       |         21 |          1 |          6 |         28 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\item_widget.dart                                     | Dart       |         36 |         11 |         12 |         59 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\rent_this_with_date_selecter.dart                    | Dart       |        329 |        105 |         44 |        478 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message.dart                                    | Dart       |         96 |          1 |          8 |        105 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message2.dart                                   | Dart       |         95 |          1 |          8 |        104 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message_screen.dart                             | Dart       |         46 |          0 |          6 |         52 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\to_rent.dart                                         | Dart       |        360 |         48 |         26 |        434 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\user_card.dart                                       | Dart       |         33 |          0 |          5 |         38 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\auth.dart                                                   | Dart       |         57 |          9 |         18 |         84 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\class_store.dart                                            | Dart       |        308 |         16 |         23 |        347 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\firestore_service.dart                                      | Dart       |        133 |         10 |         24 |        167 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\booked_html_template.dart                                     | Dart       |         25 |          0 |          0 |         25 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\bottom_navbar_buttons.dart                                    | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\constants.dart                                                | Dart       |         12 |          0 |          1 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\filters_page.dart                                             | Dart       |        589 |         29 |         31 |        649 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\fitting_session_html_template.dart                            | Dart       |         25 |          0 |          0 |         25 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\get_country_price.dart                                        | Dart       |         26 |          3 |          7 |         36 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\get_current_user.dart                                         | Dart       |         12 |          3 |          5 |         20 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\html_template.dart                                            | Dart       |         26 |          0 |          0 |         26 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\item_card.dart                                                | Dart       |        279 |         34 |         31 |        344 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\item_results.dart                                             | Dart       |        359 |         16 |         24 |        399 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\line.dart                                                     | Dart       |         21 |          9 |          5 |         35 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\loading.dart                                                  | Dart       |         16 |          0 |          2 |         18 |
